model,repeat,fold,split_number,seed,n_validation,roc_auc,accuracy,f1_macro,f1_fake,f1_real,elapsed_seconds,batch_size,eval_batch_size,prediction_path,roc_path
MNB,1,1,1,42,1026,0.9291709889842648,0.847953216374269,0.845625,0.8266666666666665,0.8645833333333334,17.367310100002214,,,predictions/MNB/repeat_1_fold_1_predictions.csv.gz,roc_raw/MNB/repeat_1_fold_1_roc.csv
MNB,1,2,2,43,1026,0.9220823881232212,0.8645224171539961,0.8627374548478469,0.8470847084708469,0.8783902012248469,15.630349799990654,,,predictions/MNB/repeat_1_fold_2_predictions.csv.gz,roc_raw/MNB/repeat_1_fold_2_roc.csv
MNB,1,3,3,44,1026,0.9253844487762616,0.8713450292397661,0.8701604491348631,0.8577586206896551,0.8825622775800711,15.822154200053774,,,predictions/MNB/repeat_1_fold_3_predictions.csv.gz,roc_raw/MNB/repeat_1_fold_3_roc.csv
MNB,1,4,4,45,1026,0.9085929573771988,0.8460038986354775,0.8444051983951779,0.8286334056399132,0.8601769911504425,16.57990160002373,,,predictions/MNB/repeat_1_fold_4_predictions.csv.gz,roc_raw/MNB/repeat_1_fold_4_roc.csv
MNB,1,5,5,46,1025,0.9298835739522416,0.864390243902439,0.862505729933171,0.8464088397790056,0.8786026200873364,14.905256699887104,,,predictions/MNB/repeat_1_fold_5_predictions.csv.gz,roc_raw/MNB/repeat_1_fold_5_roc.csv
MNB,2,1,6,47,1026,0.9183984435856808,0.8654970760233918,0.8638749697153822,0.8490153172866521,0.8787346221441125,14.816814300022088,,,predictions/MNB/repeat_2_fold_1_predictions.csv.gz,roc_raw/MNB/repeat_2_fold_1_roc.csv
MNB,2,2,7,48,1026,0.919029216967044,0.8557504873294347,0.8538168879578572,0.8370044052863436,0.8706293706293707,17.285305699915625,,,predictions/MNB/repeat_2_fold_2_predictions.csv.gz,roc_raw/MNB/repeat_2_fold_2_roc.csv
MNB,2,3,8,49,1026,0.9167246142212798,0.8411306042884991,0.839179849736563,0.8214676889375686,0.8568920105355575,13.459566300036386,,,predictions/MNB/repeat_2_fold_3_predictions.csv.gz,roc_raw/MNB/repeat_2_fold_3_roc.csv
MNB,2,4,9,50,1026,0.9199259791236808,0.854775828460039,0.8527955783017096,0.8357221609702316,0.8698689956331878,11.245694200042635,,,predictions/MNB/repeat_2_fold_4_predictions.csv.gz,roc_raw/MNB/repeat_2_fold_4_roc.csv
MNB,2,5,10,51,1025,0.9328132614522416,0.8702439024390244,0.8691433678028853,0.8571428571428572,0.8811438784629134,13.195822500041686,,,predictions/MNB/repeat_2_fold_5_predictions.csv.gz,roc_raw/MNB/repeat_2_fold_5_roc.csv
MNB,3,1,11,52,1026,0.9239880077060748,0.8469785575048733,0.844891985190392,0.8269018743109151,0.8628820960698689,16.203739000018686,,,predictions/MNB/repeat_3_fold_1_predictions.csv.gz,roc_raw/MNB/repeat_3_fold_1_roc.csv
MNB,3,2,12,53,1026,0.9162762331429614,0.8440545808966862,0.8415101334651508,0.8214285714285714,0.8615916955017302,14.684377599973232,,,predictions/MNB/repeat_3_fold_2_predictions.csv.gz,roc_raw/MNB/repeat_3_fold_2_roc.csv
MNB,3,3,13,54,1026,0.930538931257101,0.8693957115009746,0.8681431240385316,0.8552915766738661,0.8809946714031971,16.188425899948925,,,predictions/MNB/repeat_3_fold_3_predictions.csv.gz,roc_raw/MNB/repeat_3_fold_3_roc.csv
MNB,3,4,14,55,1026,0.9272463702031774,0.8752436647173489,0.8739485151555871,0.8611713665943601,0.8867256637168142,14.074637399986386,,,predictions/MNB/repeat_3_fold_4_predictions.csv.gz,roc_raw/MNB/repeat_3_fold_4_roc.csv
MNB,3,5,15,56,1025,0.913771244517544,0.8536585365853658,0.8517266253654999,0.8348017621145374,0.8686514886164625,15.449046000023372,,,predictions/MNB/repeat_3_fold_5_predictions.csv.gz,roc_raw/MNB/repeat_3_fold_5_roc.csv
MNB,4,1,16,57,1026,0.92279485805699,0.854775828460039,0.8522172630699762,0.8327721661054995,0.8716623600344531,15.22849899996072,,,predictions/MNB/repeat_4_fold_1_predictions.csv.gz,roc_raw/MNB/repeat_4_fold_1_roc.csv
