split_number,repeat,fold,role,combined_row_number,train_partition_position,combined_row_id,y_true
0,0,0,outer_train,3825,0,Lupac:000619,0
0,0,0,outer_train,4644,1,Lupac:001438,0
0,0,0,outer_train,4158,2,Lupac:000952,0
0,0,0,outer_train,3415,3,Lupac:000209,0
0,0,0,outer_train,6247,4,Lupac:003041,1
0,0,0,outer_train,1915,5,Cruz:001915,1
0,0,0,outer_train,2846,6,Cruz:002846,1
0,0,0,outer_train,3649,7,Lupac:000443,0
0,0,0,outer_train,4009,8,Lupac:000803,0
0,0,0,outer_train,107,9,Cruz:000107,0
0,0,0,outer_train,5068,10,Lupac:001862,1
0,0,0,outer_train,6213,11,Lupac:003007,1
0,0,0,outer_train,3199,12,Cruz:003199,1
0,0,0,outer_train,4872,13,Lupac:001666,1
0,0,0,outer_train,2927,14,Cruz:002927,1
0,0,0,outer_train,644,15,Cruz:000644,0
0,0,0,outer_train,4727,16,Lupac:001521,0
0,0,0,outer_train,638,17,Cruz:000638,0
0,0,0,outer_train,2004,18,Cruz:002004,1
0,0,0,outer_train,4031,19,Lupac:000825,0
0,0,0,outer_train,4777,20,Lupac:001571,0
0,0,0,outer_train,3010,21,Cruz:003010,1
0,0,0,outer_train,1333,22,Cruz:001333,0
0,0,0,outer_train,2398,23,Cruz:002398,1
0,0,0,outer_train,1244,24,Cruz:001244,0
0,0,0,outer_train,1283,25,Cruz:001283,0
0,0,0,outer_train,5153,26,Lupac:001947,1
0,0,0,outer_train,3519,27,Lupac:000313,0
0,0,0,outer_train,3344,28,Lupac:000138,0
0,0,0,outer_train,3102,29,Cruz:003102,1
0,0,0,outer_train,5636,30,Lupac:002430,1
0,0,0,outer_train,4435,31,Lupac:001229,0
0,0,0,outer_train,938,32,Cruz:000938,0
0,0,0,outer_train,2659,33,Cruz:002659,1
0,0,0,outer_train,571,34,Cruz:000571,0
0,0,0,outer_train,3417,35,Lupac:000211,0
0,0,0,outer_train,6094,36,Lupac:002888,1
0,0,0,outer_train,5610,37,Lupac:002404,1
0,0,0,outer_train,1277,38,Cruz:001277,0
0,0,0,outer_train,2188,39,Cruz:002188,1
0,0,0,outer_train,1360,40,Cruz:001360,0
0,0,0,outer_train,2696,41,Cruz:002696,1
0,0,0,outer_train,4997,42,Lupac:001791,1
0,0,0,outer_train,6370,43,Lupac:003164,1
0,0,0,outer_train,518,44,Cruz:000518,0
0,0,0,outer_train,4650,45,Lupac:001444,0
0,0,0,outer_train,1332,46,Cruz:001332,0
0,0,0,outer_train,2386,47,Cruz:002386,1
0,0,0,outer_train,3878,48,Lupac:000672,0
0,0,0,outer_train,506,49,Cruz:000506,0
0,0,0,outer_train,4842,50,Lupac:001636,1
0,0,0,outer_train,4351,51,Lupac:001145,0
0,0,0,outer_train,3418,52,Lupac:000212,0
0,0,0,outer_train,3163,53,Cruz:003163,1
0,0,0,outer_train,4732,54,Lupac:001526,0
0,0,0,outer_train,3030,55,Cruz:003030,1
0,0,0,outer_train,5366,56,Lupac:002160,1
0,0,0,outer_train,3850,57,Lupac:000644,0
0,0,0,outer_train,6093,58,Lupac:002887,1
0,0,0,outer_train,2478,59,Cruz:002478,1
0,0,0,outer_train,5431,60,Lupac:002225,1
0,0,0,outer_train,5345,61,Lupac:002139,1
0,0,0,outer_train,6062,62,Lupac:002856,1
0,0,0,outer_train,3075,63,Cruz:003075,1
0,0,0,outer_train,3711,64,Lupac:000505,0
0,0,0,outer_train,3978,65,Lupac:000772,0
0,0,0,outer_train,1506,66,Cruz:001506,0
0,0,0,outer_train,3445,67,Lupac:000239,0
0,0,0,outer_train,1101,68,Cruz:001101,0
0,0,0,outer_train,4097,69,Lupac:000891,0
0,0,0,outer_train,5233,70,Lupac:002027,1
0,0,0,outer_train,23,71,Cruz:000023,0
0,0,0,outer_train,4517,72,Lupac:001311,0
0,0,0,outer_train,931,73,Cruz:000931,0
0,0,0,outer_train,2572,74,Cruz:002572,1
