model,repeat,fold,fpr,tpr,threshold,roc_auc
DistilBERT,6,2,0.0,0.0,inf,0.9696411811421557
DistilBERT,6,2,0.0,0.001949317738791423,0.9980770349502563,0.9696411811421557
DistilBERT,6,2,0.0,0.007797270955165692,0.9977172613143921,0.9696411811421557
DistilBERT,6,2,0.0,0.011695906432748537,0.9976218342781067,0.9696411811421557
DistilBERT,6,2,0.0,0.015594541910331383,0.9975985884666443,0.9696411811421557
DistilBERT,6,2,0.0,0.01949317738791423,0.9975892305374146,0.9696411811421557
DistilBERT,6,2,0.0,0.021442495126705652,0.9975703358650208,0.9696411811421557
DistilBERT,6,2,0.0,0.025341130604288498,0.9975656270980835,0.9696411811421557
DistilBERT,6,2,0.0,0.031189083820662766,0.9975608587265015,0.9696411811421557
DistilBERT,6,2,0.0,0.03508771929824561,0.9975417852401733,0.9696411811421557
DistilBERT,6,2,0.0,0.03898635477582846,0.9975321292877197,0.9696411811421557
DistilBERT,6,2,0.0,0.04093567251461988,0.9975177049636841,0.9696411811421557
DistilBERT,6,2,0.0,0.04483430799220273,0.9974737763404846,0.9696411811421557
DistilBERT,6,2,0.0,0.04873294346978557,0.9974541068077087,0.9696411811421557
DistilBERT,6,2,0.0,0.05263157894736842,0.9974491000175476,0.9696411811421557
DistilBERT,6,2,0.0,0.056530214424951264,0.9974341988563538,0.9696411811421557
DistilBERT,6,2,0.0,0.06237816764132553,0.9974290728569031,0.9696411811421557
DistilBERT,6,2,0.0,0.07017543859649122,0.9973887801170349,0.9696411811421557
DistilBERT,6,2,0.0,0.07407407407407407,0.9973734617233276,0.9696411811421557
DistilBERT,6,2,0.0,0.07797270955165692,0.9973529577255249,0.9696411811421557
DistilBERT,6,2,0.0,0.08382066276803118,0.9973425269126892,0.9696411811421557
DistilBERT,6,2,0.0,0.08771929824561403,0.9973269701004028,0.9696411811421557
DistilBERT,6,2,0.0,0.09161793372319688,0.9973165392875671,0.9696411811421557
DistilBERT,6,2,0.0,0.09746588693957114,0.9973008036613464,0.9696411811421557
DistilBERT,6,2,0.0,0.10136452241715399,0.9972903728485107,0.9696411811421557
DistilBERT,6,2,0.0,0.10721247563352826,0.9972690939903259,0.9696411811421557
DistilBERT,6,2,0.0,0.11306042884990253,0.9972584247589111,0.9696411811421557
DistilBERT,6,2,0.0,0.11500974658869395,0.9972477555274963,0.9696411811421557
DistilBERT,6,2,0.0,0.1189083820662768,0.997236967086792,0.9696411811421557
DistilBERT,6,2,0.0,0.12085769980506822,0.9972099661827087,0.9696411811421557
DistilBERT,6,2,0.0,0.12475633528265107,0.9972044825553894,0.9696411811421557
DistilBERT,6,2,0.0,0.1267056530214425,0.9971990585327148,0.9696411811421557
DistilBERT,6,2,0.0,0.13060428849902533,0.9971936345100403,0.9696411811421557
DistilBERT,6,2,0.0,0.13840155945419103,0.9971439242362976,0.9696411811421557
DistilBERT,6,2,0.0,0.14230019493177387,0.9971383810043335,0.9696411811421557
DistilBERT,6,2,0.0,0.14814814814814814,0.9971160888671875,0.9696411811421557
DistilBERT,6,2,0.0,0.1539961013645224,0.9971103668212891,0.9696411811421557
DistilBERT,6,2,0.0,0.15594541910331383,0.9970878958702087,0.9696411811421557
DistilBERT,6,2,0.0,0.1617933723196881,0.9970765113830566,0.9696411811421557
DistilBERT,6,2,0.0,0.16569200779727095,0.997065007686615,0.9696411811421557
DistilBERT,6,2,0.0,0.1695906432748538,0.997036337852478,0.9696411811421557
DistilBERT,6,2,0.0,0.17543859649122806,0.99703049659729,0.9696411811421557
DistilBERT,6,2,0.0,0.17738791423001948,0.9970130920410156,0.9696411811421557
DistilBERT,6,2,0.0,0.18128654970760233,0.9970014691352844,0.9696411811421557
DistilBERT,6,2,0.0,0.19103313840155944,0.9968763589859009,0.9696411811421557
DistilBERT,6,2,0.0,0.1949317738791423,0.9968641400337219,0.9696411811421557
DistilBERT,6,2,0.0,0.1968810916179337,0.9968580007553101,0.9696411811421557
DistilBERT,6,2,0.0,0.20077972709551656,0.9968519806861877,0.9696411811421557
DistilBERT,6,2,0.0,0.20272904483430798,0.9968457818031311,0.9696411811421557
DistilBERT,6,2,0.0,0.22417153996101363,0.9968335032463074,0.9696411811421557
DistilBERT,6,2,0.0,0.22807017543859648,0.9968211650848389,0.9696411811421557
DistilBERT,6,2,0.0,0.2573099415204678,0.9966298937797546,0.9696411811421557
DistilBERT,6,2,0.0,0.26120857699805067,0.996616780757904,0.9696411811421557
DistilBERT,6,2,0.0,0.26705653021442494,0.9965770840644836,0.9696411811421557
DistilBERT,6,2,0.001949317738791423,0.2709551656920078,0.996563732624054,0.9696411811421557
DistilBERT,6,2,0.001949317738791423,0.27680311890838205,0.9965165853500366,0.9696411811421557
DistilBERT,6,2,0.001949317738791423,0.2807017543859649,0.9964961409568787,0.9696411811421557
DistilBERT,6,2,0.001949317738791423,0.2826510721247563,0.9964756369590759,0.9696411811421557
DistilBERT,6,2,0.001949317738791423,0.28654970760233917,0.9964687824249268,0.9696411811421557
DistilBERT,6,2,0.001949317738791423,0.29434697855750486,0.9963853359222412,0.9696411811421557
DistilBERT,6,2,0.001949317738791423,0.2982456140350877,0.9963428378105164,0.9696411811421557
DistilBERT,6,2,0.001949317738791423,0.30214424951267055,0.996292769908905,0.9696411811421557
DistilBERT,6,2,0.003898635477582846,0.30214424951267055,0.9962855577468872,0.9696411811421557
DistilBERT,6,2,0.003898635477582846,0.3060428849902534,0.9962564706802368,0.9696411811421557
DistilBERT,6,2,0.003898635477582846,0.30994152046783624,0.9961977601051331,0.9696411811421557
DistilBERT,6,2,0.003898635477582846,0.31773879142300193,0.9961230158805847,0.9696411811421557
