model,repeat,fold,fpr,tpr,threshold,roc_auc
LR,6,5,0.0,0.0,inf,0.9818698221247564
LR,6,5,0.0,0.001949317738791423,0.9999999999999591,0.9818698221247564
LR,6,5,0.0,0.20857699805068225,0.9999975042408322,0.9818698221247564
LR,6,5,0.0,0.24366471734892786,0.99999746873714,0.9818698221247564
LR,6,5,0.001953125,0.24366471734892786,0.9999973703983697,0.9818698221247564
LR,6,5,0.001953125,0.35282651072124754,0.9999659009060802,0.9818698221247564
LR,6,5,0.00390625,0.35282651072124754,0.9999617870977044,0.9818698221247564
LR,6,5,0.00390625,0.47368421052631576,0.9993587449027526,0.9818698221247564
LR,6,5,0.005859375,0.47368421052631576,0.9993454288996775,0.9818698221247564
LR,6,5,0.005859375,0.7875243664717348,0.9579105318680962,0.9818698221247564
LR,6,5,0.01171875,0.7875243664717348,0.9554873558883877,0.9818698221247564
LR,6,5,0.01171875,0.8031189083820662,0.9435305563947611,0.9818698221247564
LR,6,5,0.013671875,0.8031189083820662,0.9400624606825598,0.9818698221247564
LR,6,5,0.013671875,0.8089668615984406,0.9307593410114633,0.9818698221247564
LR,6,5,0.015625,0.8089668615984406,0.9285445940351197,0.9818698221247564
LR,6,5,0.015625,0.8167641325536062,0.9244178409587445,0.9818698221247564
LR,6,5,0.017578125,0.8167641325536062,0.9207469907825351,0.9818698221247564
LR,6,5,0.017578125,0.8284600389863548,0.9135499470208072,0.9818698221247564
LR,6,5,0.01953125,0.8284600389863548,0.9115049921124487,0.9818698221247564
LR,6,5,0.01953125,0.847953216374269,0.8870952202878256,0.9818698221247564
LR,6,5,0.025390625,0.847953216374269,0.8761100803164165,0.9818698221247564
LR,6,5,0.025390625,0.8518518518518519,0.8676038726891921,0.9818698221247564
LR,6,5,0.02734375,0.8518518518518519,0.863139756623327,0.9818698221247564
LR,6,5,0.02734375,0.8693957115009746,0.8347809659250462,0.9818698221247564
LR,6,5,0.029296875,0.8693957115009746,0.8301522126275823,0.9818698221247564
LR,6,5,0.029296875,0.8713450292397661,0.8267671251803342,0.9818698221247564
LR,6,5,0.03125,0.8713450292397661,0.8220866628600396,0.9818698221247564
LR,6,5,0.03125,0.8830409356725146,0.7874742836832268,0.9818698221247564
LR,6,5,0.03515625,0.8830409356725146,0.7831497992504033,0.9818698221247564
LR,6,5,0.03515625,0.8869395711500975,0.7755638162873935,0.9818698221247564
LR,6,5,0.0390625,0.8869395711500975,0.7521586619316439,0.9818698221247564
LR,6,5,0.0390625,0.8908382066276803,0.7464178525009872,0.9818698221247564
LR,6,5,0.041015625,0.8908382066276803,0.7455433563129501,0.9818698221247564
LR,6,5,0.041015625,0.8927875243664717,0.7433965605658468,0.9818698221247564
LR,6,5,0.04296875,0.8927875243664717,0.7389222787403378,0.9818698221247564
LR,6,5,0.04296875,0.898635477582846,0.7064599094838662,0.9818698221247564
LR,6,5,0.0546875,0.898635477582846,0.6817602695282527,0.9818698221247564
LR,6,5,0.0546875,0.9005847953216374,0.6780654576191095,0.9818698221247564
LR,6,5,0.056640625,0.9005847953216374,0.6673651449801971,0.9818698221247564
LR,6,5,0.056640625,0.9025341130604289,0.6655989043999548,0.9818698221247564
LR,6,5,0.05859375,0.9025341130604289,0.6530827001999466,0.9818698221247564
LR,6,5,0.05859375,0.9044834307992202,0.6490476971024057,0.9818698221247564
LR,6,5,0.064453125,0.9044834307992202,0.6373102406172528,0.9818698221247564
LR,6,5,0.064453125,0.9142300194931774,0.6107165240852237,0.9818698221247564
LR,6,5,0.068359375,0.9142300194931774,0.588018620001149,0.9818698221247564
LR,6,5,0.068359375,0.9161793372319688,0.5834130556489859,0.9818698221247564
LR,6,5,0.072265625,0.9161793372319688,0.5804896396981803,0.9818698221247564
LR,6,5,0.072265625,0.9181286549707602,0.5723531104783581,0.9818698221247564
LR,6,5,0.07421875,0.9181286549707602,0.5685792093779741,0.9818698221247564
LR,6,5,0.07421875,0.9200779727095516,0.5441049607531778,0.9818698221247564
LR,6,5,0.078125,0.9200779727095516,0.5376032335272343,0.9818698221247564
LR,6,5,0.078125,0.9220272904483431,0.5346150357405668,0.9818698221247564
LR,6,5,0.080078125,0.9220272904483431,0.5204785426050376,0.9818698221247564
LR,6,5,0.080078125,0.9337231968810916,0.46766859109487113,0.9818698221247564
LR,6,5,0.08203125,0.9337231968810916,0.44265263863446613,0.9818698221247564
LR,6,5,0.08203125,0.9376218323586745,0.4271619247076205,0.9818698221247564
LR,6,5,0.083984375,0.9376218323586745,0.41658957989653317,0.9818698221247564
LR,6,5,0.083984375,0.9434697855750487,0.4044476732072044,0.9818698221247564
LR,6,5,0.0859375,0.9434697855750487,0.389502530273304,0.9818698221247564
LR,6,5,0.0859375,0.9454191033138402,0.3843933340180702,0.9818698221247564
LR,6,5,0.087890625,0.9454191033138402,0.3841272287115051,0.9818698221247564
LR,6,5,0.087890625,0.949317738791423,0.3773908102119824,0.9818698221247564
LR,6,5,0.091796875,0.949317738791423,0.35923759207253664,0.9818698221247564
LR,6,5,0.091796875,0.9590643274853801,0.28698632895252585,0.9818698221247564
LR,6,5,0.09375,0.9590643274853801,0.2794856415082859,0.9818698221247564
LR,6,5,0.09375,0.9610136452241715,0.2736920638820197,0.9818698221247564
LR,6,5,0.09765625,0.9610136452241715,0.2537456249036593,0.9818698221247564
LR,6,5,0.09765625,0.9649122807017544,0.25074252886892107,0.9818698221247564
LR,6,5,0.10546875,0.9649122807017544,0.21465282895866136,0.9818698221247564
LR,6,5,0.10546875,0.9688109161793372,0.19101319199098704,0.9818698221247564
LR,6,5,0.125,0.9688109161793372,0.16008830366807042,0.9818698221247564
LR,6,5,0.125,0.9707602339181286,0.15313490228363907,0.9818698221247564
LR,6,5,0.126953125,0.9707602339181286,0.14742486753170542,0.9818698221247564
LR,6,5,0.126953125,0.9746588693957114,0.1358943667822573,0.9818698221247564
LR,6,5,0.140625,0.9746588693957114,0.10877445807849935,0.9818698221247564
LR,6,5,0.140625,0.9766081871345029,0.1061255249278968,0.9818698221247564
LR,6,5,0.15625,0.9766081871345029,0.09066050679898889,0.9818698221247564
LR,6,5,0.15625,0.9785575048732943,0.08790188724945687,0.9818698221247564
LR,6,5,0.1640625,0.9785575048732943,0.08032381397262248,0.9818698221247564
LR,6,5,0.1640625,0.9805068226120858,0.07933574404695794,0.9818698221247564
LR,6,5,0.2421875,0.9805068226120858,0.0354961782949111,0.9818698221247564
LR,6,5,0.2421875,0.9824561403508771,0.03537492406680746,0.9818698221247564
LR,6,5,0.259765625,0.9824561403508771,0.03199442871532545,0.9818698221247564
LR,6,5,0.259765625,0.9844054580896686,0.03173890923712027,0.9818698221247564
LR,6,5,0.2734375,0.9844054580896686,0.028742991237107197,0.9818698221247564
LR,6,5,0.2734375,0.98635477582846,0.02861535053749076,0.9818698221247564
LR,6,5,0.275390625,0.98635477582846,0.02857367595541024,0.9818698221247564
LR,6,5,0.275390625,0.9883040935672515,0.028560269451534375,0.9818698221247564
LR,6,5,0.28515625,0.9883040935672515,0.026751439675155593,0.9818698221247564
LR,6,5,0.28515625,0.9902534113060428,0.02650593057506212,0.9818698221247564
LR,6,5,0.291015625,0.9902534113060428,0.025858090892568304,0.9818698221247564
LR,6,5,0.291015625,0.9922027290448343,0.02536615796708967,0.9818698221247564
LR,6,5,0.302734375,0.9922027290448343,0.023984427683966577,0.9818698221247564
LR,6,5,0.302734375,0.9941520467836257,0.023947871896586936,0.9818698221247564
LR,6,5,0.32421875,0.9941520467836257,0.020099188668956967,0.9818698221247564
LR,6,5,0.32421875,0.9980506822612085,0.019552864786381904,0.9818698221247564
LR,6,5,0.35546875,0.9980506822612085,0.016492337001165706,0.9818698221247564
LR,6,5,0.35546875,1.0,0.016490457795841254,0.9818698221247564
LR,6,5,0.583984375,1.0,0.005373373193290021,0.9818698221247564
LR,6,5,0.587890625,1.0,0.005346267924440942,0.9818698221247564
LR,6,5,0.6015625,1.0,0.005126890540960258,0.9818698221247564
LR,6,5,0.60546875,1.0,0.005090753904421394,0.9818698221247564
LR,6,5,1.0,1.0,4.393046848807204e-06,0.9818698221247564
