model,repeat,fold,fpr,tpr,threshold,roc_auc
MNB,5,3,0.0,0.0,inf,0.9275313581766849
MNB,5,3,0.10331384015594541,0.8830409356725146,1.0,0.9275313581766849
MNB,5,3,0.10526315789473684,0.8888888888888888,0.9999999999997726,0.9275313581766849
MNB,5,3,0.10721247563352826,0.8888888888888888,0.9999999999995453,0.9275313581766849
MNB,5,3,0.1111111111111111,0.8888888888888888,0.9999999999990905,0.9275313581766849
MNB,5,3,0.11306042884990253,0.8908382066276803,0.9999999999988631,0.9275313581766849
MNB,5,3,0.11306042884990253,0.8966861598440545,0.9999999999902229,0.9275313581766849
MNB,5,3,0.1189083820662768,0.8966861598440545,0.9999999999772626,0.9275313581766849
MNB,5,3,0.1189083820662768,0.9005847953216374,0.9999999999449756,0.9275313581766849
MNB,5,3,0.12475633528265107,0.9005847953216374,0.9999999999354259,0.9275313581766849
MNB,5,3,0.12475633528265107,0.9044834307992202,0.9999999998826752,0.9275313581766849
MNB,5,3,0.1267056530214425,0.9044834307992202,0.9999999998726707,0.9275313581766849
MNB,5,3,0.1267056530214425,0.9064327485380117,0.9999999998699423,0.9275313581766849
MNB,5,3,0.13060428849902533,0.9064327485380117,0.9999999997935447,0.9275313581766849
MNB,5,3,0.13060428849902533,0.9103313840155945,0.9999999995748112,0.9275313581766849
MNB,5,3,0.13840155945419103,0.9103313840155945,0.9999999992051016,0.9275313581766849
MNB,5,3,0.13840155945419103,0.9122807017543859,0.9999999990056949,0.9275313581766849
MNB,5,3,0.14035087719298245,0.9122807017543859,0.999999998008434,0.9275313581766849
MNB,5,3,0.14035087719298245,0.9142300194931774,0.9999999963933988,0.9275313581766849
MNB,5,3,0.14619883040935672,0.9142300194931774,0.9999999852027486,0.9275313581766849
MNB,5,3,0.14619883040935672,0.9200779727095516,0.9999999814331206,0.9275313581766849
MNB,5,3,0.15009746588693956,0.9200779727095516,0.9999999574456533,0.9275313581766849
MNB,5,3,0.15009746588693956,0.9239766081871345,0.9999998937339626,0.9275313581766849
MNB,5,3,0.15204678362573099,0.9239766081871345,0.9999998776556897,0.9275313581766849
MNB,5,3,0.15204678362573099,0.9259259259259259,0.9999997936802387,0.9275313581766849
MNB,5,3,0.15984405458089668,0.9259259259259259,0.9999990748637816,0.9275313581766849
MNB,5,3,0.15984405458089668,0.9278752436647173,0.9999988733183708,0.9275313581766849
MNB,5,3,0.1617933723196881,0.9278752436647173,0.9999983845463564,0.9275313581766849
MNB,5,3,0.1617933723196881,0.9298245614035088,0.999996641053897,0.9275313581766849
MNB,5,3,0.16569200779727095,0.9298245614035088,0.9999957070884934,0.9275313581766849
MNB,5,3,0.16569200779727095,0.9317738791423001,0.9999953270216837,0.9275313581766849
MNB,5,3,0.18128654970760233,0.9317738791423001,0.9999765014645796,0.9275313581766849
MNB,5,3,0.18128654970760233,0.9337231968810916,0.9999655813094533,0.9275313581766849
MNB,5,3,0.18518518518518517,0.9337231968810916,0.9999453882909827,0.9275313581766849
MNB,5,3,0.18518518518518517,0.9376218323586745,0.9999367782094976,0.9275313581766849
MNB,5,3,0.1949317738791423,0.9376218323586745,0.9998223627056668,0.9275313581766849
MNB,5,3,0.1949317738791423,0.9415204678362573,0.9995892982444473,0.9275313581766849
MNB,5,3,0.19883040935672514,0.9415204678362573,0.9995425063114082,0.9275313581766849
MNB,5,3,0.19883040935672514,0.9434697855750487,0.9993148607693274,0.9275313581766849
MNB,5,3,0.20077972709551656,0.9434697855750487,0.9990582771854621,0.9275313581766849
MNB,5,3,0.20077972709551656,0.9454191033138402,0.9989863745447155,0.9275313581766849
MNB,5,3,0.20272904483430798,0.9454191033138402,0.9981315798655179,0.9275313581766849
MNB,5,3,0.20272904483430798,0.949317738791423,0.993052212046381,0.9275313581766849
MNB,5,3,0.2046783625730994,0.949317738791423,0.9909899585530711,0.9275313581766849
MNB,5,3,0.2046783625730994,0.9512670565302144,0.9852720945519504,0.9275313581766849
MNB,5,3,0.20857699805068225,0.9512670565302144,0.9839687232013707,0.9275313581766849
MNB,5,3,0.20857699805068225,0.9532163742690059,0.9748737599521488,0.9275313581766849
MNB,5,3,0.21052631578947367,0.9532163742690059,0.9737689418205994,0.9275313581766849
