model,repeat,fold,fpr,tpr,threshold,roc_auc
RoBERTa,3,2,0.0,0.0,inf,0.9911083752265654
RoBERTa,3,2,0.0,0.001949317738791423,0.9997164607048035,0.9911083752265654
RoBERTa,3,2,0.0,0.005847953216374269,0.9997153878211975,0.9911083752265654
RoBERTa,3,2,0.0,0.007797270955165692,0.999714195728302,0.9911083752265654
RoBERTa,3,2,0.0,0.015594541910331383,0.999713122844696,0.9911083752265654
RoBERTa,3,2,0.0,0.01949317738791423,0.9997125267982483,0.9911083752265654
RoBERTa,3,2,0.0,0.025341130604288498,0.9997120499610901,0.9911083752265654
RoBERTa,3,2,0.0,0.02729044834307992,0.9997114539146423,0.9911083752265654
RoBERTa,3,2,0.0,0.03508771929824561,0.9997102618217468,0.9911083752265654
RoBERTa,3,2,0.0,0.04678362573099415,0.9997097849845886,0.9911083752265654
RoBERTa,3,2,0.0,0.05847953216374269,0.9997085928916931,0.9911083752265654
RoBERTa,3,2,0.0,0.06042884990253411,0.9997079968452454,0.9911083752265654
RoBERTa,3,2,0.0,0.07407407407407407,0.9997075200080872,0.9911083752265654
RoBERTa,3,2,0.0,0.07992202729044834,0.9997069239616394,0.9911083752265654
RoBERTa,3,2,0.0,0.09941520467836257,0.9997057318687439,0.9911083752265654
RoBERTa,3,2,0.0,0.10331384015594541,0.9997051358222961,0.9911083752265654
RoBERTa,3,2,0.0,0.11306042884990253,0.9997045397758484,0.9911083752265654
RoBERTa,3,2,0.0,0.12085769980506822,0.9997040629386902,0.9911083752265654
RoBERTa,3,2,0.0,0.13060428849902533,0.9997034668922424,0.9911083752265654
RoBERTa,3,2,0.0,0.13840155945419103,0.9997028708457947,0.9911083752265654
RoBERTa,3,2,0.0,0.1442495126705653,0.9997022747993469,0.9911083752265654
RoBERTa,3,2,0.0,0.1539961013645224,0.9997016787528992,0.9911083752265654
RoBERTa,3,2,0.0,0.15984405458089668,0.9997010827064514,0.9911083752265654
RoBERTa,3,2,0.0,0.16764132553606237,0.9997005462646484,0.9911083752265654
RoBERTa,3,2,0.0,0.17153996101364521,0.9996999502182007,0.9911083752265654
RoBERTa,3,2,0.0,0.1793372319688109,0.9996993541717529,0.9911083752265654
RoBERTa,3,2,0.0,0.18518518518518517,0.9996988773345947,0.9911083752265654
RoBERTa,3,2,0.0,0.1968810916179337,0.999698281288147,0.9911083752265654
RoBERTa,3,2,0.0,0.2124756335282651,0.9996976852416992,0.9911083752265654
RoBERTa,3,2,0.0,0.2202729044834308,0.9996970891952515,0.9911083752265654
RoBERTa,3,2,0.0,0.23196881091617932,0.9996964931488037,0.9911083752265654
RoBERTa,3,2,0.0,0.23586744639376217,0.999695897102356,0.9911083752265654
RoBERTa,3,2,0.0,0.2475633528265107,0.9996947050094604,0.9911083752265654
RoBERTa,3,2,0.0,0.2573099415204678,0.9996941089630127,0.9911083752265654
RoBERTa,3,2,0.0,0.26120857699805067,0.9996935129165649,0.9911083752265654
RoBERTa,3,2,0.0,0.28460038986354774,0.9996911287307739,0.9911083752265654
RoBERTa,3,2,0.0,0.30409356725146197,0.9996898174285889,0.9911083752265654
RoBERTa,3,2,0.0,0.31773879142300193,0.9996892213821411,0.9911083752265654
RoBERTa,3,2,0.0,0.31968810916179335,0.9996886253356934,0.9911083752265654
RoBERTa,3,2,0.0,0.32748538011695905,0.9996880292892456,0.9911083752265654
RoBERTa,3,2,0.0,0.3313840155945419,0.9996874332427979,0.9911083752265654
RoBERTa,3,2,0.0,0.33723196881091616,0.9996868371963501,0.9911083752265654
RoBERTa,3,2,0.0,0.3469785575048733,0.9996862411499023,0.9911083752265654
RoBERTa,3,2,0.0,0.3586744639376218,0.9996849298477173,0.9911083752265654
RoBERTa,3,2,0.0,0.36062378167641324,0.9996843338012695,0.9911083752265654
RoBERTa,3,2,0.0,0.3723196881091618,0.999683141708374,0.9911083752265654
RoBERTa,3,2,0.0,0.3762183235867446,0.999681830406189,0.9911083752265654
RoBERTa,3,2,0.0,0.38011695906432746,0.9996812343597412,0.9911083752265654
RoBERTa,3,2,0.0,0.38596491228070173,0.9996787309646606,0.9911083752265654
RoBERTa,3,2,0.0,0.3898635477582846,0.9996781349182129,0.9911083752265654
RoBERTa,3,2,0.0,0.391812865497076,0.9996768236160278,0.9911083752265654
RoBERTa,3,2,0.0,0.39766081871345027,0.9996762275695801,0.9911083752265654
RoBERTa,3,2,0.0,0.4015594541910331,0.9996750354766846,0.9911083752265654
RoBERTa,3,2,0.0,0.4093567251461988,0.9996743202209473,0.9911083752265654
RoBERTa,3,2,0.0,0.4152046783625731,0.9996737241744995,0.9911083752265654
RoBERTa,3,2,0.0,0.4191033138401559,0.9996730089187622,0.9911083752265654
RoBERTa,3,2,0.0,0.42105263157894735,0.9996724128723145,0.9911083752265654
RoBERTa,3,2,0.0,0.4619883040935672,0.9996718168258667,0.9911083752265654
RoBERTa,3,2,0.0,0.4678362573099415,0.9996711015701294,0.9911083752265654
RoBERTa,3,2,0.0,0.47173489278752434,0.9996699094772339,0.9911083752265654
RoBERTa,3,2,0.0,0.4756335282651072,0.9996685981750488,0.9911083752265654
RoBERTa,3,2,0.0,0.48148148148148145,0.9996665716171265,0.9911083752265654
RoBERTa,3,2,0.0,0.48927875243664715,0.9996633529663086,0.9911083752265654
RoBERTa,3,2,0.0,0.49317738791423,0.9996594190597534,0.9911083752265654
RoBERTa,3,2,0.0,0.49902534113060426,0.9996579885482788,0.9911083752265654
RoBERTa,3,2,0.0,0.5165692007797271,0.9996492862701416,0.9911083752265654
RoBERTa,3,2,0.0,0.52046783625731,0.9996485710144043,0.9911083752265654
RoBERTa,3,2,0.0,0.5224171539961013,0.9996471405029297,0.9911083752265654
RoBERTa,3,2,0.0,0.5380116959064327,0.999640941619873,0.9911083752265654
RoBERTa,3,2,0.0,0.5399610136452242,0.9996359348297119,0.9911083752265654
RoBERTa,3,2,0.0,0.543859649122807,0.9996345043182373,0.9911083752265654
RoBERTa,3,2,0.0,0.5477582846003899,0.9996316432952881,0.9911083752265654
RoBERTa,3,2,0.0,0.5555555555555556,0.9996287822723389,0.9911083752265654
RoBERTa,3,2,0.0,0.5672514619883041,0.9996229410171509,0.9911083752265654
RoBERTa,3,2,0.0,0.571150097465887,0.9996206760406494,0.9911083752265654
RoBERTa,3,2,0.0,0.5730994152046783,0.9996199607849121,0.9911083752265654
RoBERTa,3,2,0.0,0.5769980506822612,0.9996192455291748,0.9911083752265654
RoBERTa,3,2,0.0,0.580896686159844,0.9996147155761719,0.9911083752265654
RoBERTa,3,2,0.0,0.5847953216374269,0.999613344669342,0.9911083752265654
RoBERTa,3,2,0.0,0.6140350877192983,0.9995703101158142,0.9911083752265654
RoBERTa,3,2,0.0,0.6179337231968811,0.9995651841163635,0.9911083752265654
RoBERTa,3,2,0.0,0.6276803118908382,0.9995549321174622,0.9911083752265654
RoBERTa,3,2,0.0,0.631578947368421,0.9995539784431458,0.9911083752265654
RoBERTa,3,2,0.0,0.6432748538011696,0.9995380640029907,0.9911083752265654
RoBERTa,3,2,0.0,0.6471734892787524,0.9995362758636475,0.9911083752265654
RoBERTa,3,2,0.0,0.6510721247563352,0.9995335340499878,0.9911083752265654
RoBERTa,3,2,0.0,0.6549707602339181,0.9995290040969849,0.9911083752265654
RoBERTa,3,2,0.0,0.6647173489278753,0.9995015859603882,0.9911083752265654
RoBERTa,3,2,0.0,0.6686159844054581,0.9994956254959106,0.9911083752265654
RoBERTa,3,2,0.0,0.7017543859649122,0.9993880987167358,0.9911083752265654
RoBERTa,3,2,0.0,0.7056530214424951,0.9993773102760315,0.9911083752265654
RoBERTa,3,2,0.0,0.7076023391812866,0.9993600249290466,0.9911083752265654
RoBERTa,3,2,0.0,0.7115009746588694,0.9993461966514587,0.9911083752265654
RoBERTa,3,2,0.0,0.7134502923976608,0.9993435740470886,0.9911083752265654
RoBERTa,3,2,0.0,0.7173489278752436,0.9993307590484619,0.9911083752265654
RoBERTa,3,2,0.0,0.7290448343079922,0.9992749094963074,0.9911083752265654
RoBERTa,3,2,0.0,0.732943469785575,0.9992720484733582,0.9911083752265654
RoBERTa,3,2,0.0,0.7348927875243665,0.9992548823356628,0.9911083752265654
RoBERTa,3,2,0.0,0.7387914230019493,0.9992431402206421,0.9911083752265654
RoBERTa,3,2,0.0,0.7446393762183235,0.9991958737373352,0.9911083752265654
RoBERTa,3,2,0.0,0.7485380116959064,0.9991655349731445,0.9911083752265654
RoBERTa,3,2,0.0,0.7524366471734892,0.9991424083709717,0.9911083752265654
RoBERTa,3,2,0.0,0.7563352826510721,0.999127209186554,0.9911083752265654
RoBERTa,3,2,0.0,0.7953216374269005,0.9988051652908325,0.9911083752265654
RoBERTa,3,2,0.001949317738791423,0.7953216374269005,0.9988027811050415,0.9911083752265654
RoBERTa,3,2,0.001949317738791423,0.797270955165692,0.9987792372703552,0.9911083752265654
RoBERTa,3,2,0.003898635477582846,0.797270955165692,0.9987404942512512,0.9911083752265654
RoBERTa,3,2,0.003898635477582846,0.834307992202729,0.9979251623153687,0.9911083752265654
RoBERTa,3,2,0.005847953216374269,0.8362573099415205,0.9979007244110107,0.9911083752265654
RoBERTa,3,2,0.007797270955165692,0.8362573099415205,0.997880220413208,0.9911083752265654
RoBERTa,3,2,0.007797270955165692,0.8518518518518519,0.9965097308158875,0.9911083752265654
RoBERTa,3,2,0.009746588693957114,0.8518518518518519,0.9964063763618469,0.9911083752265654
RoBERTa,3,2,0.009746588693957114,0.8576998050682261,0.9959456324577332,0.9911083752265654
RoBERTa,3,2,0.011695906432748537,0.8576998050682261,0.9957020878791809,0.9911083752265654
RoBERTa,3,2,0.011695906432748537,0.8654970760233918,0.9941347241401672,0.9911083752265654
RoBERTa,3,2,0.01364522417153996,0.8654970760233918,0.9938429594039917,0.9911083752265654
RoBERTa,3,2,0.01364522417153996,0.8888888888888888,0.988711953163147,0.9911083752265654
RoBERTa,3,2,0.015594541910331383,0.8888888888888888,0.9872281551361084,0.9911083752265654
RoBERTa,3,2,0.015594541910331383,0.8947368421052632,0.983955442905426,0.9911083752265654
RoBERTa,3,2,0.017543859649122806,0.8947368421052632,0.9835180044174194,0.9911083752265654
RoBERTa,3,2,0.017543859649122806,0.9005847953216374,0.9788140654563904,0.9911083752265654
RoBERTa,3,2,0.021442495126705652,0.9005847953216374,0.9781771898269653,0.9911083752265654
RoBERTa,3,2,0.021442495126705652,0.9064327485380117,0.9723097085952759,0.9911083752265654
RoBERTa,3,2,0.023391812865497075,0.9064327485380117,0.9609150886535645,0.9911083752265654
RoBERTa,3,2,0.023391812865497075,0.9181286549707602,0.9519526958465576,0.9911083752265654
RoBERTa,3,2,0.025341130604288498,0.9181286549707602,0.9516838788986206,0.9911083752265654
RoBERTa,3,2,0.025341130604288498,0.9298245614035088,0.9140608906745911,0.9911083752265654
RoBERTa,3,2,0.029239766081871343,0.9298245614035088,0.8949272632598877,0.9911083752265654
RoBERTa,3,2,0.029239766081871343,0.935672514619883,0.8666976690292358,0.9911083752265654
RoBERTa,3,2,0.031189083820662766,0.935672514619883,0.8520143628120422,0.9911083752265654
RoBERTa,3,2,0.031189083820662766,0.9376218323586745,0.8411743640899658,0.9911083752265654
RoBERTa,3,2,0.03313840155945419,0.9376218323586745,0.7929456830024719,0.9911083752265654
RoBERTa,3,2,0.03313840155945419,0.9395711500974658,0.7898827195167542,0.9911083752265654
