accuracy,features,classifier,dataset
0.931773879,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.914230019,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.935672515,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.920077973,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.923828125,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.931773879,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.904483431,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.916179337,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.914230019,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.93359375,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.908382066,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.937621832,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.927875244,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.920077973,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.92578125,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.908382066,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.92202729,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.93957115,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.920077973,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.93359375,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.904483431,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.918128655,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.929824561,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.927875244,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.9375,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.945419103,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.929824561,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.906432749,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.918128655,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.91796875,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Cruz
0.968810916,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.93957115,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.949317739,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.941520468,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.955078125,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.953216374,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.93957115,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.961013645,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.951267057,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.95703125,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.931773879,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.961013645,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.961013645,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.964912281,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.939453125,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.941520468,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.964912281,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.95711501,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.949317739,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.951171875,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.947368421,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
0.949317739,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Cruz
