dataset_key,dataset,fold_number,repeat_number,split_number,seed,train_size,validation_size,accuracy,f1_macro,f1_fake,f1_real,roc_auc,elapsed_seconds
cruz,Fake News Filipino 2020,1,1,1,42,2051,513,0.9649122807017544,0.9649089471924117,0.9652509652509652,0.9645669291338582,0.9922406979571984,160.04553150001448
cruz,Fake News Filipino 2020,2,1,2,43,2051,513,0.9649122807017544,0.9649057464274855,0.9653846153846155,0.9644268774703556,0.9956453672178989,160.6103799000848
cruz,Fake News Filipino 2020,3,1,3,44,2051,513,0.9746588693957114,0.9746554024010672,0.9749518304431599,0.9743589743589745,0.9946042071984436,150.2280436999863
cruz,Fake News Filipino 2020,4,1,4,45,2051,513,0.9746588693957114,0.9746527051937439,0.9750479846449137,0.9742574257425742,0.9975148954280155,160.54547100001946
cruz,Fake News Filipino 2020,5,1,5,46,2052,512,0.966796875,0.9667957350220305,0.9669902912621358,0.9666011787819253,0.9936981201171875,160.7853103999514
cruz,Fake News Filipino 2020,6,2,1,47,2051,513,0.9707602339181286,0.9707562335396929,0.9710982658959537,0.9704142011834319,0.9978264834630352,145.64378759998363
cruz,Fake News Filipino 2020,7,2,2,48,2051,513,0.9707602339181286,0.9707584561072835,0.9709864603481624,0.9705304518664047,0.9978568822957198,160.50893489993177
cruz,Fake News Filipino 2020,8,2,3,49,2051,513,0.9668615984405458,0.9668610947504417,0.9669902912621359,0.9667318982387475,0.9935250486381323,163.87749370001256
cruz,Fake News Filipino 2020,9,2,4,50,2051,513,0.9746588693957114,0.9746554024010672,0.9749518304431599,0.9743589743589745,0.9973553015564203,151.8852570001036
cruz,Fake News Filipino 2020,10,2,5,51,2052,512,0.958984375,0.9589804630721162,0.9593810444874274,0.9585798816568047,0.9856719970703125,168.3412023000419
cruz,Fake News Filipino 2020,11,3,1,52,2051,513,0.9590643274853801,0.959061838550197,0.9593810444874274,0.9587426326129667,0.9935250486381323,164.79252589994576
cruz,Fake News Filipino 2020,12,3,2,53,2051,513,0.9785575048732943,0.9785562011453413,0.9787234042553192,0.9783889980353634,0.9957441634241245,149.4788261000067
cruz,Fake News Filipino 2020,13,3,3,54,2051,513,0.9766081871345029,0.9765974270855509,0.9770992366412213,0.9760956175298804,0.9964509362840467,161.83154579997063
