dataset_key,dataset,feature_set,features,classifier,repeat,fold,accuracy
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,1,1,0.9103313840155945
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,1,1,0.9649122807017544
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,1,1,0.9239766081871345
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,1,1,0.9688109161793372
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,1,2,0.8927875243664717
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,1,2,0.9415204678362573
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,1,2,0.9220272904483431
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,1,2,0.9473684210526315
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,1,3,0.9064327485380117
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,1,3,0.9376218323586745
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,1,3,0.9142300194931774
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,1,3,0.9415204678362573
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,1,4,0.8927875243664717
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,1,4,0.9337231968810916
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,1,4,0.9083820662768031
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,1,4,0.9415204678362573
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,1,5,0.90234375
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,1,5,0.953125
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,1,5,0.9375
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,1,5,0.94921875
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,2,1,0.9025341130604289
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,2,1,0.9512670565302144
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,2,1,0.9317738791423001
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,2,1,0.9532163742690059
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,2,2,0.9083820662768031
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,2,2,0.9298245614035088
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,2,2,0.9200779727095516
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,2,2,0.9395711500974658
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,2,3,0.9103313840155945
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,2,3,0.9590643274853801
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,2,3,0.9181286549707602
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,2,3,0.9532163742690059
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,2,4,0.8947368421052632
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,2,4,0.949317738791423
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,2,4,0.9278752436647173
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,2,4,0.9454191033138402
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,2,5,0.90234375
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,2,5,0.953125
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,2,5,0.93359375
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,2,5,0.95703125
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,3,1,0.9025341130604289
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,3,1,0.9298245614035088
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,3,1,0.9142300194931774
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,3,1,0.935672514619883
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,3,2,0.9181286549707602
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,3,2,0.9571150097465887
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,3,2,0.9220272904483431
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,3,2,0.9571150097465887
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,3,3,0.9025341130604289
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,3,3,0.9668615984405458
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,3,3,0.9376218323586745
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,3,3,0.9551656920077972
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,3,4,0.9005847953216374
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,3,4,0.9590643274853801
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,3,4,0.9278752436647173
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,3,4,0.9610136452241715
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,3,5,0.916015625
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,3,5,0.931640625
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,3,5,0.921875
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,3,5,0.935546875
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,4,1,0.8869395711500975
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,4,1,0.9415204678362573
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,4,1,0.9161793372319688
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,4,1,0.9473684210526315
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,4,2,0.9044834307992202
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,4,2,0.9532163742690059
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,4,2,0.9259259259259259
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,4,2,0.9415204678362573
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,4,3,0.9181286549707602
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,4,3,0.9434697855750487
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,4,3,0.9376218323586745
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,SVC,4,3,0.9454191033138402
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,MNB,4,4,0.8908382066276803
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,LR,4,4,0.9434697855750487
Cruz,Fake News Filipino 2020,Vectorizers (TF-IDF + BOW),vectorizers,RF,4,4,0.9278752436647173
