dataset_key,dataset,classifier,classifier_name,feature_set,repeat,fold,accuracy,elapsed_seconds
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,1,1,0.9259259259259259,4.789530400070362
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,1,2,0.9142300194931774,4.821386799914762
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,1,3,0.9317738791423001,4.807047500042245
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,1,4,0.9122807017543859,4.861472200020216
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,1,5,0.923828125,4.613378299982287
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,2,1,0.9298245614035088,4.548078799969517
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,2,2,0.9064327485380117,4.6329094000393525
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,2,3,0.9122807017543859,4.722048499970697
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,2,4,0.9122807017543859,5.003023800090887
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,2,5,0.93359375,5.188067800016142
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,3,1,0.9083820662768031,4.98470150004141
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,3,2,0.935672514619883,5.092221700004302
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,3,3,0.9259259259259259,4.782373099937104
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,3,4,0.9181286549707602,4.722648299997672
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,3,5,0.921875,4.747940700035542
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,4,1,0.9044834307992202,4.769795499974862
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,4,2,0.9161793372319688,4.608820399967954
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,4,3,0.9376218323586745,4.617168199969456
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,4,4,0.9122807017543859,4.620861000032164
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,4,5,0.927734375,4.642720900010318
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,5,1,0.9005847953216374,4.591158200055361
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,5,2,0.9161793372319688,4.614073900040239
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,5,3,0.9220272904483431,4.593673600000329
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,5,4,0.9259259259259259,4.563033200101927
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,5,5,0.9375,4.607869200059213
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,6,1,0.9415204678362573,4.5854476999957114
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,6,2,0.9337231968810916,4.547358299954794
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,6,3,0.9064327485380117,4.661979099968448
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,6,4,0.9064327485380117,4.055905199958943
Cruz,Fake News Filipino 2020,MNB,Multinomial Naive Bayes,full,6,5,0.9140625,4.00263989996165
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,1,1,0.9688109161793372,144.5905365999788
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,1,2,0.9454191033138402,93.87460779992398
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,1,3,0.9532163742690059,145.50638929998968
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,1,4,0.9395711500974658,149.74845090007875
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,1,5,0.955078125,136.88303959998302
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,2,1,0.9551656920077972,152.91357019997668
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,2,2,0.9395711500974658,158.96716099989135
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,2,3,0.9571150097465887,154.43435250001494
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,2,4,0.949317738791423,144.97600989998318
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,2,5,0.95703125,153.84544429997914
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,3,1,0.9278752436647173,88.1890851999633
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,3,2,0.9688109161793372,154.6919382000342
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,3,3,0.9629629629629629,171.20402349997312
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,3,4,0.9590643274853801,145.53611959994305
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,3,5,0.94140625,140.8438494000584
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,4,1,0.9415204678362573,104.36506810004357
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,4,2,0.9629629629629629,158.2533531000372
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,4,3,0.9551656920077972,153.31878099997994
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,4,4,0.9532163742690059,142.00911400001496
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,4,5,0.951171875,151.91345620003995
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,5,1,0.949317738791423,154.0993362000445
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,5,2,0.9532163742690059,175.820587299997
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,5,3,0.949317738791423,158.34143769997172
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,5,4,0.949317738791423,137.35101340000983
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,5,5,0.95703125,152.0624400000088
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,6,1,0.9649122807017544,147.31170000007842
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,6,2,0.9512670565302144,151.2177464000415
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,6,3,0.9454191033138402,149.9955359000014
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,6,4,0.9571150097465887,73.45419530000072
Cruz,Fake News Filipino 2020,LR,Logistic Regression,full,6,5,0.947265625,104.16142599994782
Cruz,Fake News Filipino 2020,RF,Random Forest,full,1,1,0.9200779727095516,11.220448200008832
Cruz,Fake News Filipino 2020,RF,Random Forest,full,1,2,0.9142300194931774,11.765526799950749
Cruz,Fake News Filipino 2020,RF,Random Forest,full,1,3,0.9142300194931774,10.998086699983105
Cruz,Fake News Filipino 2020,RF,Random Forest,full,1,4,0.9025341130604289,11.28523519996088
Cruz,Fake News Filipino 2020,RF,Random Forest,full,1,5,0.94140625,11.209979999926873
Cruz,Fake News Filipino 2020,RF,Random Forest,full,2,1,0.9181286549707602,11.34039089991711
Cruz,Fake News Filipino 2020,RF,Random Forest,full,2,2,0.9122807017543859,11.366106300032698
Cruz,Fake News Filipino 2020,RF,Random Forest,full,2,3,0.9161793372319688,11.582358399988152
