feature,coefficient
morph__prefix_derived_ratio,-0.4655904102992473
lex__log_ttr,-0.4026738807924043
syll__cvc_density,-0.395495017669399
lex__root_ttr,-0.3371480995027745
trad__ave_phrase_count,-0.32424757085936107
trad__ave_word_length,-0.2987146224448443
lex__ttr,-0.2711512862467158
syll__cvcc_density,-0.2600068429585826
lex__corr_ttr,-0.23839970740504976
syll__cv_density,-0.21126766376552888
syll__consonant_cluster,-0.18432332639095692
syll__v_density,-0.1188091179686104
trad__ave_syllable_count_of_word,-0.11880911796859035
syll__vc_density,-0.11114133876406446
lex__compound_tr,-0.10925653410270246
syll__vcc_density,-0.10248928375037818
morph__total_affix_derived_ratio,-0.10237785377547132
morph__participle_verb_ratio,-0.09663324918448263
morph__perfective_verb_ratio,-0.09318142373749344
sw__count_stopwords,-0.0639488682718064
trad__word_count_per_sentence,-0.06348890038568744
trad__polysyll_count,-0.05279330732633317
lex__foreign_tr,-0.03772415293458734
morph__total_affix_token_ratio,-0.027489603025776285
morph__contemplative_verb_ratio,-0.025192486395019056
morph__suffix_token_ratio,-0.017891079832510745
morph__prefix_token_ratio,-0.009598523193265403
morph__object_focus_ratio,-0.00781560096512584
morph__referential_focus_ratio,-0.003299068309787191
syll__ccvcc_density,-0.002272999378991841
morph__aux_verb_ratio,-0.001999320764151202
morph__locative_focus_ratio,-0.0006596366393885165
morph__recent_past_verb_ratio,0.0
morph__instrumental_focus_ratio,0.0
morph__benefactive_focus_ratio,0.0028476911624534377
trad__word_count,0.014996162189232505
syll__ccvccc_density,0.018048404891617287
morph__imperfective_verb_ratio,0.021740660948035503
lex__verb_tr,0.03639834946691738
oov__count_oov_words,0.045379888280163885
trad__sentence_count,0.06127892238873775
morph__infinitive_verb_ratio,0.07221116179395194
morph__actor_focus_ratio,0.09760139171629241
read__readability_score,0.1512016086611977
morph__suffix_derived_ratio,0.36321255652379203
lex__noun_tr,0.4655108103851899
lex__lexical_density,0.5002969008272488
