classifier,classifier_name,repeat,fold,auc,elapsed_seconds
MNB,Multinomial Naive Bayes,1,1,0.9252724570359868,9.476231600041501
MNB,Multinomial Naive Bayes,1,2,0.9016350772130349,9.958199199987575
MNB,Multinomial Naive Bayes,1,3,0.9371370808378682,9.868531899992377
MNB,Multinomial Naive Bayes,1,4,0.9350702400358705,9.69974029995501
MNB,Multinomial Naive Bayes,1,5,0.9064665478746897,9.71777780004777
MNB,Multinomial Naive Bayes,2,1,0.9152256632290388,9.834123000036925
MNB,Multinomial Naive Bayes,2,2,0.9295925036478598,9.73124629992526
MNB,Multinomial Naive Bayes,2,3,0.9296714442042331,9.858146200072952
MNB,Multinomial Naive Bayes,2,4,0.9175699008153827,9.291579099954106
MNB,Multinomial Naive Bayes,2,5,0.9164339346213717,9.36014820006676
MNB,Multinomial Naive Bayes,3,1,0.9146754825961394,9.227628899971023
MNB,Multinomial Naive Bayes,3,2,0.9120668034655723,9.619880800019018
MNB,Multinomial Naive Bayes,3,3,0.9321892195907944,9.259875899995677
MNB,Multinomial Naive Bayes,3,4,0.925673158790975,9.321957500069402
MNB,Multinomial Naive Bayes,3,5,0.9176832518542211,9.332615700084716
MNB,Multinomial Naive Bayes,4,1,0.9255591285045308,9.422359799966216
MNB,Multinomial Naive Bayes,4,2,0.9201736768615749,9.258024999988265
MNB,Multinomial Naive Bayes,4,3,0.9318839255808289,9.231910399976186
MNB,Multinomial Naive Bayes,4,4,0.9124646021741116,9.30625600006897
MNB,Multinomial Naive Bayes,4,5,0.9219415308912806,9.423503199941479
MNB,Multinomial Naive Bayes,5,1,0.9380674411799357,9.434529699967243
MNB,Multinomial Naive Bayes,5,2,0.9226083718385213,9.276404700009152
MNB,Multinomial Naive Bayes,5,3,0.9189153238066282,9.16220580006484
MNB,Multinomial Naive Bayes,5,4,0.9201787994891443,9.332891899975948
MNB,Multinomial Naive Bayes,5,5,0.9112271242203386,9.300509799970314
MNB,Multinomial Naive Bayes,6,1,0.9277948569843399,9.252435799920931
MNB,Multinomial Naive Bayes,6,2,0.9320949133968525,9.31779249990359
MNB,Multinomial Naive Bayes,6,3,0.9215338941494438,9.416372400010005
MNB,Multinomial Naive Bayes,6,4,0.932813256618205,8.293421800015494
MNB,Multinomial Naive Bayes,6,5,0.9026829026829027,8.389486100059003
LR,Logistic Regression,1,1,0.9694376760469686,422.1298037999077
LR,Logistic Regression,1,2,0.9743813837548638,316.1416320001008
LR,Logistic Regression,1,3,0.9769479828534947,287.9516014000401
LR,Logistic Regression,1,4,0.9798228514756677,309.13702419993933
LR,Logistic Regression,1,5,0.976195915383561,289.834714800003
LR,Logistic Regression,2,1,0.9746036211032088,316.9568494000705
LR,Logistic Regression,2,2,0.9742065904669259,308.61272900004406
LR,Logistic Regression,2,3,0.9776755926167409,266.74240600003395
LR,Logistic Regression,2,4,0.9766984605087015,293.9112965000095
LR,Logistic Regression,2,5,0.975193053139212,283.59843329992145
LR,Logistic Regression,3,1,0.9752697978416173,264.0193503999617
LR,Logistic Regression,3,2,0.9768201854385165,261.6725516000297
LR,Logistic Regression,3,3,0.9754697048004133,281.7614068000112
LR,Logistic Regression,3,4,0.9760688438849358,294.11583059991244
LR,Logistic Regression,3,5,0.9753202052969038,431.43088549992535
LR,Logistic Regression,4,1,0.9799648786717752,437.203979400103
LR,Logistic Regression,4,2,0.9781488494864291,294.0583397001028
LR,Logistic Regression,4,3,0.9826474528790231,441.3191417999333
LR,Logistic Regression,4,4,0.9609938796017172,318.60157120006625
LR,Logistic Regression,4,5,0.9737094673339275,428.3764358999906
LR,Logistic Regression,5,1,0.9842551105334565,309.9803727999097
LR,Logistic Regression,5,2,0.9755441391050583,313.4676646000007
LR,Logistic Regression,5,3,0.9748859835816357,277.41425490006804
LR,Logistic Regression,5,4,0.9735449735449736,290.44533230003435
LR,Logistic Regression,5,5,0.9696741224763343,274.30191999999806
LR,Logistic Regression,6,1,0.9698160385783177,431.458013299969
LR,Logistic Regression,6,2,0.9789808529420718,295.9070876999758
LR,Logistic Regression,6,3,0.9736456975166211,408.66965209995396
LR,Logistic Regression,6,4,0.9839020242575371,395.9537010999629
LR,Logistic Regression,6,5,0.9712747405055098,264.76688460004516
RF,Random Forest,1,1,0.9624014992264386,25.275078399921767
RF,Random Forest,1,2,0.9460648711089494,24.971993499901146
RF,Random Forest,1,3,0.9670218587541423,24.401892199995928
RF,Random Forest,1,4,0.9714822034510142,24.419426599983126
RF,Random Forest,1,5,0.9539490717473081,24.439909900072962
RF,Random Forest,2,1,0.9548597516240986,24.98004840000067
RF,Random Forest,2,2,0.9625866366731517,24.1325261000311
RF,Random Forest,2,3,0.9585158749223125,24.745862099924125
RF,Random Forest,2,4,0.9581774065960813,25.723240199964494
RF,Random Forest,2,5,0.9627628727528004,24.308203499997035
RF,Random Forest,3,1,0.9605525155798753,24.83893570001237
RF,Random Forest,3,2,0.958971728226174,24.762041799956933
RF,Random Forest,3,3,0.9667862463138054,24.261141199967824
RF,Random Forest,3,4,0.9589034847655536,24.22936190001201
RF,Random Forest,3,5,0.9622188209134798,24.712659499957226
RF,Random Forest,4,1,0.9675735875448519,24.89994889998343
RF,Random Forest,4,2,0.9587460071536504,24.66116219991818
RF,Random Forest,4,3,0.9639779543862854,24.57265810004901
RF,Random Forest,4,4,0.9493811089796291,24.610809299978428
RF,Random Forest,4,5,0.9553559866852525,24.894925400032662
RF,Random Forest,5,1,0.9698175447397324,24.460281900013797
RF,Random Forest,5,2,0.9666904790856031,24.58386979997158
RF,Random Forest,5,3,0.9584144116752813,24.547245200024918
RF,Random Forest,5,4,0.9591125402907013,24.73618390003685
RF,Random Forest,5,5,0.9580144242119613,24.50687010004185
RF,Random Forest,6,1,0.9588718350161313,25.135834300075658
RF,Random Forest,6,2,0.9629919941554291,25.237843899987638
RF,Random Forest,6,3,0.9563270472765701,24.873911899980158
RF,Random Forest,6,4,0.9662636453412337,23.18786750000436
RF,Random Forest,6,5,0.9514404514404514,22.67598319996614
SVC,Support Vector Classifier,1,1,0.9677461046341453,127.34407749993261
SVC,Support Vector Classifier,1,2,0.9745409776264591,126.7944100999739
SVC,Support Vector Classifier,1,3,0.9750288815249446,127.95479810005054
SVC,Support Vector Classifier,1,4,0.9771857627608114,125.62979540007655
SVC,Support Vector Classifier,1,5,0.9746348669682154,125.56793540006038
SVC,Support Vector Classifier,2,1,0.9741436657302837,127.68243649997748
SVC,Support Vector Classifier,2,2,0.9709843142023347,126.7639054999454
SVC,Support Vector Classifier,2,3,0.9758415977488761,127.3944945000112
SVC,Support Vector Classifier,2,4,0.9751106699525374,125.63675379997585
SVC,Support Vector Classifier,2,5,0.972507096419742,126.10680439998396
SVC,Support Vector Classifier,3,1,0.9728302173582611,126.49973889999092
SVC,Support Vector Classifier,3,2,0.9762235902112784,125.9991391999647
SVC,Support Vector Classifier,3,3,0.9744246496214999,126.1523311000783
SVC,Support Vector Classifier,3,4,0.9718269172292162,126.8808004000457
SVC,Support Vector Classifier,3,5,0.9746196372275782,127.32789139996748
SVC,Support Vector Classifier,4,1,0.9757837681688256,127.14590979996137
SVC,Support Vector Classifier,4,2,0.9769074807291367,129.2487738999771
SVC,Support Vector Classifier,4,3,0.9812848268932127,128.01642379991245
SVC,Support Vector Classifier,4,4,0.9582990773727963,124.7664461999666
