dataset_key,dataset,feature_set,features,classifier,repeat,fold,accuracy
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,1,1,0.9649122807017544
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,1,2,0.949317738791423
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,1,3,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,1,4,0.9376218323586745
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,1,5,0.958984375
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,2,1,0.9590643274853801
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,2,2,0.9376218323586745
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,2,3,0.9551656920077972
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,2,4,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,2,5,0.9609375
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,3,1,0.9259259259259259
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,3,2,0.9746588693957114
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,3,3,0.9629629629629629
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,3,4,0.9551656920077972
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,3,5,0.943359375
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,4,1,0.9454191033138402
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,4,2,0.9649122807017544
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,4,3,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,4,4,0.9434697855750487
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,4,5,0.947265625
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,5,1,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,5,2,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,5,3,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,5,4,0.9454191033138402
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,5,5,0.962890625
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,6,1,0.9629629629629629
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,6,2,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,6,3,0.9415204678362573
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,6,4,0.9571150097465887
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",LR,6,5,0.94921875
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,1,1,0.9259259259259259
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,1,2,0.9337231968810916
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,1,3,0.9142300194931774
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,1,4,0.8888888888888888
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,1,5,0.931640625
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,2,1,0.9298245614035088
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,2,2,0.9181286549707602
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,2,3,0.9181286549707602
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,2,4,0.9259259259259259
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,2,5,0.9296875
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,3,1,0.9142300194931774
Cruz,Fake News Filipino 2020,+ Traditional features (TRAD),"vectorizers,read,oov,sw,trad",RF,3,2,0.9376218323586745
