=== Table A: Top 30 words by label (combined corpus) ===

Unfiltered:
  Fake articles (n=355180 tokens)
    Rank  Word            Count   %
       1  sa               20947   5.90
       2  ng               17658   4.97
       3  na               15924   4.48
       4  ang              15459   4.35
       5  at                6725   1.89
       6  mga               6039   1.70
       7  ni                4288   1.21
       8  ay                3794   1.07
       9  si                3228   0.91
      10  the               2329   0.66
      11  isang             2237   0.63
      12  hindi             2075   0.58
      13  of                1788   0.50
      14  ito               1692   0.48
      15  noong             1673   0.47
      16  kanyang           1645   0.46
      17  para              1561   0.44
      18  pa                1413   0.40
      19  may               1382   0.39
      20  and               1334   0.38
      21  kung              1294   0.36
      22  dahil             1269   0.36
      23  niya              1230   0.35
      24  sinabi            1143   0.32
      25  naman             1135   0.32
      26  to                1128   0.32
      27  siya               983   0.28
      28  nang               946   0.27
      29  kanilang           915   0.26
      30  kay                892   0.25
  Real articles (n=805455 tokens)
    Rank  Word            Count   %
       1  sa               44150   5.48
       2  ng               37937   4.71
       3  ang              34253   4.25
       4  na               32107   3.99
       5  mga              15143   1.88
       6  at               12009   1.49
       7  ni               10917   1.36
       8  si                6564   0.81
       9  the               6502   0.81
      10  ay                5684   0.71
      11  of                4989   0.62
      12  hindi             4312   0.54
      13  and               3969   0.49
      14  pa                3791   0.47
      15  isang             3765   0.47
      16  ito               3680   0.46
      17  para              3655   0.45
      18  to                3600   0.45
      19  naman             3458   0.43
      20  may               3220   0.40
      21  niya              2881   0.36
      22  kay               2859   0.35
      23  ayon              2830   0.35
      24  kung              2774   0.34
      25  dahil             2587   0.32
      26  lang              2362   0.29
      27  sabi              2310   0.29
      28  siya              2164   0.27
      29  din               2160   0.27
      30  nang              2033   0.25

Content words only:
  Fake articles (n=206123 content tokens; removed 149057 stop-word tokens from 355180)
    Rank  Word            Count   %
       1  si                3228   1.57
       2  noong             1673   0.81
       3  sinabi            1143   0.55
       4  naman             1135   0.55
       5  nang               946   0.46
       6  kay                892   0.43
       7  rin                853   0.41
       8  lang               757   0.37
       9  ayon               724   0.35
      10  marcos             708   0.34
      11  upang              615   0.30
      12  matapos            542   0.26
      13  city               535   0.26
      14  bansa              511   0.25
      15  duterte            485   0.24
      16  dating             482   0.23
      17  pilipinas          469   0.23
      18  wala               432   0.21
      19  pang               423   0.21
      20  sina               416   0.20
      21  yung               413   0.20
      22  po                 407   0.20
      23  pahayag            405   0.20
      24  video              391   0.19
      25  pangulong          385   0.19
      26  umano              384   0.19
      27  anak               365   0.18
      28  national           363   0.18
      29  jr                 357   0.17
      30  ferdinand          352   0.17
    Note: flagged manuscript terms in top 30: upang
  Real articles (n=473300 content tokens; removed 332155 stop-word tokens from 805455)
    Rank  Word            Count   %
       1  si                6564   1.39
       2  naman             3458   0.73
       3  kay               2859   0.60
       4  ayon              2830   0.60
       5  lang              2362   0.50
       6  nang              2033   0.43
       7  rin               2016   0.43
       8  daw               1939   0.41
       9  po                1928   0.41
      10  umano             1895   0.40
