word_count,sentence_count,polysyll_count,ave_word_length,ave_phrase_count,ave_syllable_count_of_word,word_count_per_sentence,consonant_cluster,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvcc_density,ccvccc_density,count_oov_words,count_stopwords,readability_score,ttr,root_ttr,corr_ttr,log_ttr,noun_tr,verb_tr,lexical_density,foreign_tr,compound_tr,prefix_token_ratio,prefix_derived_ratio,suffix_token_ratio,suffix_derived_ratio,total_affix_token_ratio,total_affix_derived_ratio,actor_focus_ratio,object_focus_ratio,benefactive_focus_ratio,locative_focus_ratio,instrumental_focus_ratio,referential_focus_ratio,infinitive_verb_ratio,participle_verb_ratio,perfective_verb_ratio,imperfective_verb_ratio,contemplative_verb_ratio,recent_past_verb_ratio,aux_verb_ratio
253,17,7,4.972332015810276,2.2,1.932806324110672,14.882352941176473,0.7075098814229249,1.932806324110672,1.6284584980237151,1.3992094861660078,0.8774703557312253,0.5296442687747036,0.3438735177865613,0.1146245059288537,0.0237154150197628,20,117,26.824058823529413,0.1264822134387351,2.0118227630781806,1.4225735183180386,0.6263314573933455,0.2529644268774703,0.0434782608695652,0.383399209486166,0.3359683794466403,0.0592885375494071,0.0,0.0,0.0,0.0,0.0,0.0,0.0039525691699604,0.0039525691699604,0.0,0.0,0.0,0.0,0.0039525691699604,0.0276679841897233,0.0276679841897233,0.0,0.0,0.0,0.0039525691699604
150,14,5,4.88,1.5833333333333333,1.94,10.714285714285714,0.6733333333333333,1.94,1.56,1.4666666666666666,0.88,0.52,0.3133333333333333,0.1266666666666666,0.0066666666666666,7,60,14.739,0.1666666666666666,2.041241452319315,1.4433756729740643,0.6424087238320493,0.28,0.0466666666666666,0.3733333333333333,0.3466666666666667,0.0533333333333333,0.0,0.0,0.0066666666666666,1.0,0.0066666666666666,1.0,0.0066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.0266666666666666,0.0066666666666666,0.0,0.0,0.0066666666666666
51,3,1,5.450980392156863,2.0,2.215686274509804,17.0,0.6666666666666666,2.215686274509804,1.7843137254901962,1.7450980392156863,0.9803921568627452,0.6078431372549019,0.4313725490196078,0.0980392156862745,0.0392156862745098,2,11,6.005000000000001,0.2941176470588235,2.100420126042015,1.4852213144650117,0.6887513471002598,0.4117647058823529,0.0392156862745098,0.4705882352941176,0.1568627450980392,0.1176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0,0.0
65,3,5,5.2,1.3333333333333333,2.1538461538461537,21.666666666666668,0.7076923076923077,2.1538461538461537,1.8,1.523076923076923,0.8615384615384616,0.5230769230769231,0.3692307692307692,0.0923076923076923,0.0,2,28,8.795666666666667,0.2923076923076923,2.3566599571949607,1.6664102366833555,0.7053583649032289,0.3846153846153846,0.0461538461538461,0.4769230769230769,0.1076923076923077,0.0461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0461538461538461,0.0,0.0,0.0461538461538461,0.0,0.0
23,2,1,5.3478260869565215,0.0,1.9565217391304348,11.5,0.8695652173913043,1.9565217391304348,1.434782608695652,1.608695652173913,0.8260869565217391,0.5652173913043478,0.3043478260869565,0.1304347826086956,0.0,2,9,1.497,0.4782608695652174,2.2936585546278225,1.6218615177038684,0.7647583148507885,0.3043478260869565,0.1304347826086956,0.4347826086956521,0.217391304347826,0.1304347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0869565217391304,0.0,0.0,0.0,0.0,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0
41,3,2,4.829268292682927,1.3333333333333333,1.9268292682926829,13.666666666666666,0.6097560975609756,1.9268292682926829,1.6585365853658536,1.3902439024390243,0.8780487804878049,0.4878048780487805,0.3414634146341463,0.073170731707317,0.0,7,17,4.011666666666667,0.4878048780487805,3.123475237772121,2.208630521496931,0.8066983001120591,0.2682926829268293,0.073170731707317,0.5121951219512195,0.024390243902439,0.1219512195121951,0.0,0.0,0.024390243902439,1.0,0.024390243902439,1.0,0.0,0.024390243902439,0.0,0.0,0.0,0.0,0.024390243902439,0.0,0.0,0.0,0.0,0.0,0.0
40,1,2,5.55,2.0,2.2,40.0,0.725,2.2,1.9,1.775,1.0,0.5,0.25,0.05,0.0,4,14,11.279000000000002,0.4,2.5298221281347035,1.7888543819998317,0.7516072988364304,0.35,0.125,0.525,0.05,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.025,0.0,0.025,0.0,0.0,0.0
51,3,2,4.666666666666667,1.3333333333333333,1.803921568627451,17.0,0.6666666666666666,1.803921568627451,1.4901960784313726,1.411764705882353,0.8627450980392157,0.5490196078431373,0.392156862745098,0.0980392156862745,0.0,1,30,6.005000000000001,0.3529411764705882,2.5205041512504174,1.7822655773580138,0.7351220597983265,0.196078431372549,0.0588235294117647,0.3137254901960784,0.3725490196078431,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0
59,9,2,5.084745762711864,0.0,1.9322033898305084,6.555555555555555,0.7627118644067796,1.9322033898305084,1.6271186440677967,1.4067796610169492,0.847457627118644,0.6101694915254238,0.3728813559322034,0.135593220338983,0.0169491525423728,2,20,3.928555555555557,0.288135593220339,2.213211486674006,1.5649768504271495,0.694834414896847,0.2711864406779661,0.0338983050847457,0.3898305084745763,0.2542372881355932,0.0677966101694915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0338983050847457,0.0338983050847457,0.0,0.0,0.0,0.0
163,9,4,4.883435582822086,1.6,1.9079754601227,18.11111111111111,0.7423312883435583,1.9079754601226997,1.5705521472392638,1.3312883435582823,0.7852760736196319,0.5398773006134969,0.3251533742331288,0.0797546012269938,0.0061349693251533,5,85,18.188111111111112,0.1533742331288343,1.9581511249698933,1.3846219390542782,0.6319265173934887,0.1840490797546012,0.0858895705521472,0.3128834355828221,0.3619631901840491,0.0674846625766871,0.0,0.0,0.0,0.0,0.0,0.0,0.0184049079754601,0.0122699386503067,0.0,0.0,0.0,0.0,0.0,0.0490797546012269,0.0429447852760736,0.0061349693251533,0.0,0.0,0.0061349693251533
43,1,4,6.0,5.0,2.5348837209302326,43.0,0.6511627906976745,2.5348837209302326,2.0232558139534884,1.930232558139535,1.0930232558139534,0.4418604651162791,0.2790697674418604,0.0697674418604651,0.0,10,10,12.437,0.3488372093023256,2.28747855498907,1.6174915980515765,0.7199963091043476,0.6511627906976745,0.0232558139534883,0.7209302325581395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232558139534883,0.0,0.0232558139534883,0.0,0.0,0.0
89,4,3,5.202247191011236,4.25,2.1797752808988764,22.25,0.4382022471910112,2.1797752808988764,1.98876404494382,1.6853932584269662,1.0224719101123596,0.348314606741573,0.2808988764044944,0.0112359550561797,0.0,21,27,11.503,0.3258426966292135,3.073993852018444,2.173641898087998,0.7501823611047864,0.4044943820224719,0.1123595505617977,0.6179775280898876,0.0224719101123595,0.0337078651685393,0.0,0.0,0.0112359550561797,1.0,0.0112359550561797,1.0,0.0224719101123595,0.0112359550561797,0.0,0.0,0.0,0.0,0.0112359550561797,0.0561797752808988,0.0337078651685393,0.0224719101123595,0.0,0.0,0.0
164,5,4,4.75,2.6,1.8658536585365848,32.8,0.6036585365853658,1.8658536585365852,1.646341463414634,1.4024390243902438,0.8902439024390244,0.4817073170731707,0.3780487804878049,0.0609756097560975,0.0121951219512195,37,70,22.407,0.1951219512195122,2.498780190217697,1.7669044171975443,0.679573857835007,0.2804878048780488,0.0853658536585365,0.4878048780487805,0.0853658536585365,0.0609756097560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0121951219512195,0.0121951219512195,0.0,0.0,0.0,0.0,0.0060975609756097,0.0548780487804878,0.048780487804878,0.0060975609756097,0.0,0.0,0.0
110,6,4,5.154545454545454,1.6666666666666667,2.0727272727272728,18.33333333333333,0.7090909090909091,2.0727272727272728,1.7818181818181815,1.5545454545454545,0.9090909090909092,0.5272727272727272,0.3363636363636363,0.0909090909090909,0.009090909090909,19,42,12.632333333333332,0.2363636363636363,2.47900273203854,1.752919642404429,0.6931411865332249,0.3272727272727272,0.109090909090909,0.4909090909090909,0.0818181818181818,0.0545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009090909090909,0.0,0.0,0.0,0.0,0.0454545454545454,0.0545454545454545,0.0181818181818181,0.0181818181818181,0.0181818181818181,0.0,0.0
39,1,1,5.17948717948718,5.0,2.076923076923077,39.0,0.6923076923076923,2.076923076923077,1.7435897435897436,1.5384615384615383,0.9487179487179488,0.4615384615384615,0.3076923076923077,0.0512820512820512,0.0,6,13,10.893000000000002,0.358974358974359,2.24179415327122,1.585187847802434,0.7203529200616234,0.358974358974359,0.0512820512820512,0.4358974358974359,0.1538461538461538,0.1025641025641025,0.0,0.0,0.0256410256410256,1.0,0.0256410256410256,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0,0.0,0.0,0.0
