ttr,root_ttr,corr_ttr,log_ttr,noun_tr,verb_tr,lexical_density,foreign_tr,compound_tr
0.114624506,1.823214379,1.289207251,0.608541263,0.252964427,0.043478261,0.383399209,0.335968379,0.059288538
0.153333333,1.877942136,1.327905619,0.625767798,0.28,0.046666667,0.373333333,0.346666667,0.053333333
0.294117647,2.100420126,1.485221314,0.688751347,0.411764706,0.039215686,0.470588235,0.156862745,0.117647059
0.246153846,1.984555753,1.403292831,0.664190585,0.384615385,0.046153846,0.476923077,0.107692308,0.046153846
0.434782609,2.085144141,1.474419562,0.734361136,0.304347826,0.130434783,0.434782609,0.217391304,0.130434783
0.414634146,2.654953952,1.877335943,0.762934795,0.268292683,0.073170732,0.512195122,0.024390244,0.12195122
0.325,2.055480479,1.453444185,0.695319375,0.35,0.125,0.525,0.05,0.125
0.31372549,2.240448134,1.584236069,0.705165738,0.196078431,0.058823529,0.31372549,0.37254902,0.058823529
0.288135593,2.213211487,1.56497685,0.694834415,0.271186441,0.033898305,0.389830508,0.254237288,0.06779661
0.134969325,1.72317299,1.218467306,0.606830396,0.18404908,0.085889571,0.312883436,0.36196319,0.067484663
0.23255814,1.524985703,1.078327732,0.612194252,0.651162791,0.023255814,0.720930233,0.0,0.0
0.292134831,2.755994488,1.948782391,0.725854418,0.404494382,0.112359551,0.617977528,0.02247191,0.033707865
0.170731707,2.186432666,1.546041365,0.653390546,0.280487805,0.085365854,0.487804878,0.085365854,0.06097561
0.218181818,2.288310214,1.61807967,0.676112564,0.327272727,0.109090909,0.490909091,0.081818182,0.054545455
0.282051282,1.761409692,1.245504738,0.654525706,0.358974359,0.051282051,0.435897436,0.153846154,0.102564103
0.391304348,2.653955211,1.876629727,0.754934051,0.282608696,0.065217391,0.5,0.065217391,0.043478261
0.487179487,3.042434922,2.151326365,0.803709413,0.333333333,0.051282051,0.461538462,0.025641026,0.051282051
0.298245614,2.251705007,1.59219588,0.700761172,0.368421053,0.105263158,0.526315789,0.035087719,0.070175439
0.174418605,2.287478555,1.617491598,0.660748136,0.23255814,0.13372093,0.505813953,0.075581395,0.081395349
0.315789474,1.946657054,1.376494403,0.683119668,0.210526316,0.078947368,0.447368421,0.236842105,0.052631579
0.217948718,1.924870958,1.361089307,0.650310465,0.346153846,0.025641026,0.41025641,0.307692308,0.051282051
0.210526316,2.427907915,1.716790151,0.681383767,0.353383459,0.105263158,0.541353383,0.015037594,0.067669173
0.307692308,1.921537846,1.358732441,0.678276194,0.282051282,0.153846154,0.487179487,0.128205128,0.051282051
0.233009709,2.364790268,1.672159234,0.68570435,0.174757282,0.116504854,0.466019417,0.048543689,0.126213592
0.466666667,2.556038602,1.807392228,0.775920076,0.3,0.1,0.466666667,0.066666667,0.033333333
0.349206349,2.771739469,1.959915774,0.746063707,0.238095238,0.126984127,0.428571429,0.126984127,0.095238095
0.12745098,1.287191806,0.910182055,0.554586905,0.156862745,0.049019608,0.254901961,0.656862745,0.019607843
0.180645161,2.249014121,1.590293136,0.660702684,0.258064516,0.083870968,0.483870968,0.077419355,0.058064516
0.108196721,1.889574503,1.336130945,0.611244229,0.340983607,0.08852459,0.508196721,0.081967213,0.101639344
0.5,2.915475947,2.061552813,0.803438368,0.117647059,0.088235294,0.294117647,0.147058824,0.088235294
0.34939759,3.18316354,2.250836525,0.762031521,0.204819277,0.120481928,0.493975904,0.084337349,0.048192771
0.136612022,1.848053177,1.306770934,0.617887394,0.415300546,0.081967213,0.573770492,0.081967213,0.06010929
0.371428571,2.197401062,1.553797192,0.721434108,0.4,0.085714286,0.514285714,0.028571429,0.0
0.434782609,2.085144141,1.474419562,0.734361136,0.173913043,0.086956522,0.304347826,0.47826087,0.130434783
0.242424242,1.392621248,0.984731928,0.59471959,0.393939394,0.03030303,0.424242424,0.424242424,0.060606061
0.115537849,1.830463769,1.294333344,0.609415349,0.366533865,0.055776892,0.525896414,0.107569721,0.071713147
0.241935484,1.905001905,1.347039765,0.656157505,0.451612903,0.080645161,0.564516129,0.048387097,0.048387097
0.144278607,2.045502286,1.446388537,0.634942906,0.258706468,0.064676617,0.378109453,0.388059701,0.029850746
0.34,2.404163056,1.7,0.724232281,0.22,0.1,0.5,0.12,0.04
0.4,2.366431913,1.673320053,0.742278192,0.428571429,0.0,0.514285714,0.171428571,0.028571429
0.384615385,2.401922307,1.698415551,0.739185105,0.230769231,0.076923077,0.333333333,0.102564103,0.102564103
0.148148148,1.721325932,1.217161239,0.610716506,0.37037037,0.022222222,0.42962963,0.414814815,0.007407407
0.411764706,2.400980192,1.697749375,0.748379898,0.382352941,0.088235294,0.529411765,0.0,0.147058824
