word_count,sentence_count,polysyll_count,ave_word_length,ave_phrase_count,ave_syllable_count_of_word,word_count_per_sentence
150,14,5,4.88,1.5833333333333333,1.94,10.714285714285714
51,3,1,5.450980392156863,2.0,2.215686274509804,17.0
65,3,5,5.2,1.3333333333333333,2.1538461538461537,21.666666666666668
23,2,1,5.3478260869565215,0.0,1.9565217391304348,11.5
41,3,2,4.829268292682927,1.3333333333333333,1.9268292682926829,13.666666666666666
40,1,2,5.55,2.0,2.2,40.0
51,3,2,4.666666666666667,1.3333333333333333,1.803921568627451,17.0
59,9,2,5.084745762711864,0.0,1.9322033898305084,6.555555555555555
163,9,4,4.883435582822086,1.6,1.9079754601226995,18.11111111111111
43,1,4,6.0,5.0,2.5348837209302326,43.0
89,4,3,5.202247191011236,4.25,2.1797752808988764,22.25
164,5,4,4.75,2.6,1.8658536585365855,32.8
110,6,4,5.154545454545454,1.6666666666666667,2.0727272727272728,18.333333333333332
39,1,1,5.17948717948718,5.0,2.076923076923077,39.0
46,2,4,4.608695652173913,1.5,1.9130434782608696,23.0
39,1,2,4.871794871794871,3.0,2.0,39.0
57,2,3,5.228070175438597,1.5,2.0350877192982457,28.5
172,6,10,5.255813953488372,1.6666666666666667,2.203488372093023,28.666666666666668
38,3,4,5.131578947368421,2.5,2.210526315789474,12.666666666666666
78,4,1,4.935897435897436,1.5,1.9102564102564104,19.5
133,9,4,5.015037593984962,2.0,2.075187969924812,14.777777777777779
39,3,2,5.487179487179487,2.0,2.282051282051282,13.0
103,7,10,4.970873786407767,1.3333333333333333,2.0,14.714285714285714
30,1,0,4.7,0.0,1.8666666666666667,30.0
63,5,7,5.428571428571429,1.4,2.1746031746031744,12.6
102,5,2,4.411764705882353,2.5,1.7254901960784315,20.4
155,6,6,5.219354838709678,1.6666666666666667,2.096774193548387,25.833333333333332
305,12,12,5.0426229508196725,2.25,1.9934426229508198,25.416666666666668
34,3,0,4.382352941176471,0.0,1.7941176470588236,11.333333333333334
83,3,2,4.421686746987952,1.3333333333333333,1.7951807228915662,27.666666666666668
183,18,5,4.967213114754099,1.5555555555555556,1.9836065573770492,10.166666666666666
35,2,1,4.457142857142857,0.0,1.7714285714285714,17.5
23,2,2,6.3478260869565215,3.0,2.0869565217391304,11.5
33,1,2,5.393939393939394,4.0,2.1515151515151514,33.0
251,8,9,5.00796812749004,2.875,2.095617529880478,31.375
62,2,2,5.225806451612903,3.5,2.064516129032258,31.0
201,12,5,4.731343283582089,2.3333333333333335,1.8606965174129353,16.75
50,2,3,4.82,2.5,2.0,25.0
35,2,3,5.771428571428571,0.0,2.257142857142857,17.5
39,1,3,4.846153846153846,4.0,2.076923076923077,39.0
135,5,11,5.377777777777778,3.0,2.1703703703703705,27.0
34,1,2,5.0,2.0,2.0294117647058822,34.0
114,4,11,5.657894736842105,2.25,2.3771929824561404,28.5
124,6,6,5.096774193548387,2.0,2.064516129032258,20.666666666666668
194,11,6,4.768041237113402,1.8181818181818181,1.907216494845361,17.636363636363637
33,1,1,5.333333333333333,5.0,2.090909090909091,33.0
92,4,5,5.684782608695652,1.75,2.3369565217391304,23.0
67,3,3,5.104477611940299,2.6666666666666665,2.044776119402985,22.333333333333332
266,10,6,5.071428571428571,1.9,2.0338345864661656,26.6
53,3,2,5.037735849056604,1.3333333333333333,2.056603773584906,17.666666666666668
61,2,3,5.262295081967213,2.5,2.0491803278688523,30.5
75,3,2,4.746666666666667,1.6666666666666667,1.8,25.0
112,6,5,5.017857142857143,2.0,2.1785714285714284,18.666666666666668
44,4,2,5.068181818181818,2.0,2.0681818181818183,11.0
46,2,4,5.108695652173913,1.5,2.0869565217391304,23.0
40,2,1,4.9,2.0,1.95,20.0
37,2,1,4.702702702702703,2.0,1.8918918918918919,18.5
72,2,6,5.291666666666667,4.5,2.0694444444444446,36.0
53,2,2,5.150943396226415,3.0,2.1320754716981134,26.5
136,4,5,4.764705882352941,1.8,1.911764705882353,34.0
71,2,3,5.169014084507042,2.5,2.028169014084507,35.5
378,16,21,4.931216931216931,2.5,2.0264550264550265,23.625
34,1,1,5.794117647058823,10.0,2.411764705882353,34.0
113,3,11,5.407079646017699,2.25,2.1946902654867255,37.666666666666664
70,2,1,4.771428571428571,3.0,1.9142857142857144,35.0
209,8,6,4.545454545454546,2.0,1.937799043062201,26.125
24,1,3,5.0,1.5,1.9583333333333333,24.0
27,1,1,4.777777777777778,0.0,2.0,27.0
84,3,3,5.0,2.3333333333333335,2.0,28.0
220,12,17,5.072727272727272,2.5,2.05,18.333333333333332
100,4,4,5.03,2.0,2.08,25.0
34,3,1,5.205882352941177,3.0,2.176470588235294,11.333333333333334
105,4,7,5.266666666666667,1.25,2.2285714285714286,26.25
49,2,4,5.448979591836735,2.5,2.0816326530612246,24.5
59,2,4,5.11864406779661,0.0,2.0338983050847457,29.5
129,6,6,5.263565891472868,2.5,2.0155038759689923,21.5
47,1,5,6.0212765957446805,2.0,2.5106382978723403,47.0
66,6,1,4.121212121212121,1.3333333333333333,1.6515151515151516,11.0
136,8,2,4.6838235294117645,1.75,1.8970588235294117,17.0
